class,id,x,y,value
16,762,115.0,359.0,-0.6239
5,763,550.0,290.0,-0.3036
16,764,115.0,359.0,-0.6239
7,765,96.0,271.0,-0.4019
4,766,148.0,414.0,0.0
5,767,624.0,264.0,0.0
0,768,550.0,290.0,0.7901
7,769,165.0,229.0,0.0
10,770,236.0,400.0,-0.5423
2,771,655.0,316.0,0.2655
4,772,565.0,307.0,0.0
4,773,565.0,307.0,0.0
4,774,406.0,387.0,0.0
4,775,509.0,421.0,0.0
0,776,539.0,371.0,0.5815
1,777,146.0,418.0,0.4939
10,778,80.0,434.0,-0.2263
10,779,80.0,434.0,-0.2263
0,780,494.0,361.0,0.5399
0,781,494.0,361.0,0.5399
7,782,125.0,219.0,-0.6486
4,783,172.0,417.0,0.0772
4,784,148.0,413.0,0.0
2,785,655.0,320.0,0.0
4,786,148.0,413.0,0.0
4,787,586.0,386.0,0.0
4,788,154.0,420.0,0.0
2,789,654.0,318.0,0.0
4,790,148.0,413.0,0.0
0,791,406.0,387.0,0.5562
5,792,655.0,244.0,0.0
9,793,654.0,318.0,-0.5362
5,794,539.0,391.0,-0.3612
4,795,539.0,391.0,0.0772
0,796,397.0,323.0,0.7212
0,797,397.0,323.0,0.7212
1,798,104.0,364.0,0.4767
7,799,107.0,209.0,0.2263
4,800,146.0,418.0,0.3124
1,801,146.0,418.0,0.6229
4,802,148.0,414.0,0.0
2,803,628.0,252.0,0.6786
4,804,534.0,341.0,0.0
4,805,574.0,400.0,-0.12
16,806,108.0,369.0,-0.6908
0,807,184.0,384.0,0.8151
4,808,494.0,361.0,0.0
4,809,494.0,361.0,0.0
4,810,162.0,434.0,0.0
78,811,626.0,343.0,-0.8465
0,812,537.0,417.0,0.4215
7,813,103.0,362.0,0.0
78,814,626.0,343.0,-0.8465
78,815,626.0,343.0,-0.8465
9,816,655.0,316.0,-0.5927
10,817,148.0,413.0,-0.4995
78,818,626.0,343.0,-0.8465
4,819,373.0,479.0,0.0
4,820,373.0,479.0,0.0
78,821,626.0,343.0,-0.8465
4,822,148.0,413.0,0.0258
4,823,148.0,413.0,0.0
5,824,534.0,341.0,-0.5267
2,825,655.0,316.0,0.4404
7,826,76.0,242.0,0.0
5,827,534.0,341.0,-0.6625
