x,y,sentiment
549,294,-0.2732
392,430,-0.1779
426,482,0.0
543,431,0.357
537,417,0.0
146,418,0.0
99,244,-0.5707
654,314,-0.4404
107,367,0.2732
421,343,0.4767
654,318,0.0
655,320,0.0
655,320,0.0
579,401,0.0
421,343,0.1027
497,298,0.4404
523,463,-0.7845
580,332,-0.3182
580,332,-0.3182
113,351,-0.4404
535,411,-0.3595
523,463,0.6871
399,429,0.0
421,343,0.0772
494,361,0.0
494,361,0.0
531,352,0.3182
531,352,0.3182
117,347,0.0
552,291,0.5719
654,318,-0.8316
683,304,-0.6739
99,244,0.1326
549,294,-0.6705
580,332,0.1926
580,332,0.1926
654,318,0.0
223,423,-0.5505
421,343,0.4153
629,376,-0.0516
117,347,-0.25
186,386,-0.9191
654,318,0.2057
496,303,0.0
534,419,0.8374
658,316,-0.34
614,365,0.0
614,365,0.0
654,318,0.5228
223,423,-0.4657
544,378,0.0
435,257,-0.1695
642,332,0.0
117,347,0.0
92,194,0.6249
671,293,0.0
117,347,0.4215
117,347,0.3612
407,386,-0.5423
103,362,-0.5574
654,318,0.0
233,436,0.3182
117,347,-0.6258
574,400,0.0
561,496,-0.7762
173,419,-0.6908
655,320,-0.4939
496,303,-0.7156
663,260,-0.6597
531,352,-0.296
531,352,-0.296
654,318,0.5719
590,276,-0.5267
578,328,-0.8675
584,518,0.7506
654,318,0.0
99,244,-0.8588
547,287,0.0
629,376,0.0
256,372,0.0
233,444,0.0
99,244,-0.5574
301,334,0.3661
584,511,0.8899
545,291,-0.8481
539,391,-0.1531
661,316,-0.0572
186,386,0.0
515,420,0.0
469,400,0.0
131,400,-0.3818
131,400,-0.3818
539,391,0.296
99,244,0.6597
469,350,0.0
406,474,-0.6954
592,359,-0.2263
654,318,0.0
103,210,0.0
580,332,0.1779
580,332,0.1779
99,244,0.0
222,311,-0.6369
233,436,-0.6249
654,318,0.0
